DELHI DAREDEVILS INNINGS (RUN RATE: 11.41),Match 32,W
ROYAL CHALLENGERS BANGALORE INNINGS (RUN RATE: 9.77),Match 19,W, ,Rahul Tewatia,3,26,0,8.66,2
KOLKATA KNIGHT RIDERS INNINGS (RUN RATE: 9.55),Match 18,W
KOLKATA KNIGHT RIDERS INNINGS (RUN RATE: 9.55),Match 18,W, ,Ankit Rajpoot,3,32,0,10.66,6
KOLKATA KNIGHT RIDERS INNINGS (RUN RATE: 9.55),Match 18,W, ,Mujeeb Ur Rahman,4,32,1,8.00,9
KOLKATA KNIGHT RIDERS INNINGS (RUN RATE: 9.55),Match 18,W, ,Barinder Sran,4,50,2,12.50,7
KOLKATA KNIGHT RIDERS INNINGS (RUN RATE: 9.55),Match 18,W, ,Andrew Tye,4,30,2,7.50,9
KOLKATA KNIGHT RIDERS INNINGS (RUN RATE: 9.55),Match 18,W, ,Ravichandran Ashwin,4,33,1,8.25,5
KOLKATA KNIGHT RIDERS INNINGS (RUN RATE: 9.55),Match 18,W, ,Yuvraj Singh,1,13,0,13.00,0
KINGS XI PUNJAB INNINGS (RUN RATE: 11.28),Match 18,W
KINGS XI PUNJAB INNINGS (RUN RATE: 11.28),Match 18,W, ,Shivam Mavi,3,29,0,9.66,8
KINGS XI PUNJAB INNINGS (RUN RATE: 11.28),Match 18,W, ,Andre Russell,1.5,31,0,16.90,2
KINGS XI PUNJAB INNINGS (RUN RATE: 11.28),Match 18,W, ,Nitish Rana,0.1,0,0,0.00,1
KINGS XI PUNJAB INNINGS (RUN RATE: 11.28),Match 18,W, ,Sunil Narine,3,23,1,7.66,9
KINGS XI PUNJAB INNINGS (RUN RATE: 11.28),Match 18,W, ,Piyush Chawla,2,24,0,12.00,4
KINGS XI PUNJAB INNINGS (RUN RATE: 11.28),Match 18,W, ,Kuldeep Yadav,1,13,0,13.00,1
KINGS XI PUNJAB INNINGS (RUN RATE: 11.28),Match 18,W, ,Tom Curran,0.1,6,0,36.00,0
CHENNAI SUPER KINGS INNINGS (RUN RATE: 10.20),Match 17,W
CHENNAI SUPER KINGS INNINGS (RUN RATE: 10.20),Match 17,W, ,Stuart Binny,2,33,0,16.50,2
CHENNAI SUPER KINGS INNINGS (RUN RATE: 10.20),Match 17,W, ,Krishnappa Gowtham,3,35,0,11.66,3
CHENNAI SUPER KINGS INNINGS (RUN RATE: 10.20),Match 17,W, ,Jaydev Unadkat,4,39,0,9.75,8
CHENNAI SUPER KINGS INNINGS (RUN RATE: 10.20),Match 17,W, ,Ben Stokes,3,39,0,13.00,4
CHENNAI SUPER KINGS INNINGS (RUN RATE: 10.20),Match 17,W, ,Ben Laughlin,4,38,2,9.50,5
CHENNAI SUPER KINGS INNINGS (RUN RATE: 10.20),Match 17,W, ,Shreyas Gopal,4,20,3,5.00,12
RAJASTHAN ROYALS INNINGS (RUN RATE: 7.56),Match 17,W
RAJASTHAN ROYALS INNINGS (RUN RATE: 7.56),Match 17,W, ,Deepak Chahar,4,30,2,7.50,9
RAJASTHAN ROYALS INNINGS (RUN RATE: 7.56),Match 17,W, ,Shardul Thakur,3,18,2,6.00,9
RAJASTHAN ROYALS INNINGS (RUN RATE: 7.56),Match 17,W, ,Shane Watson,3,13,1,4.33,9
RAJASTHAN ROYALS INNINGS (RUN RATE: 7.56),Match 17,W, ,Imran Tahir,4,44,1,11.00,4
RAJASTHAN ROYALS INNINGS (RUN RATE: 7.56),Match 17,W, ,Dwayne Bravo,2,16,2,8.00,2
RAJASTHAN ROYALS INNINGS (RUN RATE: 7.56),Match 17,W, ,Karn Sharma,1.3,13,2,8.66,2
RAJASTHAN ROYALS INNINGS (RUN RATE: 7.56),Match 17,W, ,Ravindra Jadeja,1,6,0,6.00,1
KINGS XI PUNJAB INNINGS (RUN RATE: 9.65),Match 16,W
KINGS XI PUNJAB INNINGS (RUN RATE: 9.65),Match 16,W, ,Bhuvneshwar Kumar,4,25,1,6.25,10
KINGS XI PUNJAB INNINGS (RUN RATE: 9.65),Match 16,W, ,Chris Jordan,4,31,0,7.75,11
KINGS XI PUNJAB INNINGS (RUN RATE: 9.65),Match 16,W, ,Rashid Khan,4,55,1,13.75,8
KINGS XI PUNJAB INNINGS (RUN RATE: 9.65),Match 16,W, ,Siddarth Kaul,4,33,1,8.25,4
